College,Program,Year,Measure,Value,Formatted for Tables
Montgomery College,Cyber Security,2014,Graduation Rate,0.851491565,85.15%
Montgomery College,Cyber Security,2014,Employment Rate,0.008525595,0.85%
Montgomery College,Cyber Security,2014,Retention,0.194606673,19.46%
Montgomery College,Cyber Security,2014,Earnings,9034.927523,"$9,035 "
Montgomery College,Cyber Security,2014,Inter-college Transfer Rate (Including dual enroll and online enroll),0.557304577,55.73%
Montgomery College,Accounting,2014,Graduation Rate,0.673342299,67.33%
Montgomery College,Accounting,2014,Employment Rate,0.474302201,47.43%
Montgomery College,Accounting,2014,Retention,0.838752157,83.88%
Montgomery College,Accounting,2014,Earnings,8081.013558,"$8,081 "
Montgomery College,Accounting,2014,Inter-college Transfer Rate (Including dual enroll and online enroll),0.189325573,18.93%
Montgomery College,Management,2014,Graduation Rate,0.310515306,31.05%
Montgomery College,Management,2014,Employment Rate,0.963841075,96.38%
Montgomery College,Management,2014,Retention,0.689134708,68.91%
Montgomery College,Management,2014,Earnings,9260.57809,"$9,261 "
Montgomery College,Management,2014,Inter-college Transfer Rate (Including dual enroll and online enroll),0.014755461,1.48%
Baltimore Community College,Cyber Security,2014,Graduation Rate,0.727937937,72.79%
Baltimore Community College,Cyber Security,2014,Employment Rate,0.577840579,57.78%
Baltimore Community College,Cyber Security,2014,Retention,0.143692791,14.37%
Baltimore Community College,Cyber Security,2014,Earnings,2296.396192,"$2,296 "
Baltimore Community College,Cyber Security,2014,Inter-college Transfer Rate (Including dual enroll and online enroll),0.790586486,79.06%
Baltimore Community College,Accounting,2014,Graduation Rate,0.172115417,17.21%
Baltimore Community College,Accounting,2014,Employment Rate,0.103498781,10.35%
Baltimore Community College,Accounting,2014,Retention,0.716295285,71.63%
Baltimore Community College,Accounting,2014,Earnings,3042.057647,"$3,042 "
Baltimore Community College,Accounting,2014,Inter-college Transfer Rate (Including dual enroll and online enroll),0.739608451,73.96%
Baltimore Community College,Management,2014,Graduation Rate,0.990992868,99.10%
Baltimore Community College,Management,2014,Employment Rate,0.476543412,47.65%
Baltimore Community College,Management,2014,Retention,0.79567346,79.57%
Baltimore Community College,Management,2014,Earnings,417.1019616,$417 
Baltimore Community College,Management,2014,Inter-college Transfer Rate (Including dual enroll and online enroll),0.256703571,25.67%
University of Baltimore,Cyber Security,2014,Graduation Rate,0.253732297,25.37%
University of Baltimore,Cyber Security,2014,Employment Rate,0.52894289,52.89%
University of Baltimore,Cyber Security,2014,Retention,0.090472638,9.05%
University of Baltimore,Cyber Security,2014,Earnings,6475.236056,"$6,475 "
University of Baltimore,Cyber Security,2014,Inter-college Transfer Rate (Including dual enroll and online enroll),0.9706169,97.06%
University of Baltimore,Accounting,2014,Graduation Rate,0.755587693,75.56%
University of Baltimore,Accounting,2014,Employment Rate,0.489462365,48.95%
University of Baltimore,Accounting,2014,Retention,0.106173157,10.62%
University of Baltimore,Accounting,2014,Earnings,3495.35337,"$3,495 "
University of Baltimore,Accounting,2014,Inter-college Transfer Rate (Including dual enroll and online enroll),0.529350624,52.94%
University of Baltimore,Management,2014,Graduation Rate,0.306869832,30.69%
University of Baltimore,Management,2014,Employment Rate,0.752351837,75.24%
University of Baltimore,Management,2014,Retention,0.881910372,88.19%
University of Baltimore,Management,2014,Earnings,5669.490533,"$5,669 "
University of Baltimore,Management,2014,Inter-college Transfer Rate (Including dual enroll and online enroll),0.218019355,21.80%
Montgomery College,Cyber Security,2015,Graduation Rate,0.145881824,14.59%
Montgomery College,Cyber Security,2015,Employment Rate,0.943706404,94.37%
Montgomery College,Cyber Security,2015,Retention,0.530470565,53.05%
Montgomery College,Cyber Security,2015,Earnings,3966.13738,"$3,966 "
Montgomery College,Cyber Security,2015,Inter-college Transfer Rate (Including dual enroll and online enroll),0.727605621,72.76%
Montgomery College,Accounting,2015,Graduation Rate,0.17300796,17.30%
Montgomery College,Accounting,2015,Employment Rate,0.250803342,25.08%
Montgomery College,Accounting,2015,Retention,0.087424934,8.74%
Montgomery College,Accounting,2015,Earnings,8746.468003,"$8,746 "
Montgomery College,Accounting,2015,Inter-college Transfer Rate (Including dual enroll and online enroll),0.666272882,66.63%
Montgomery College,Management,2015,Graduation Rate,0.884759391,88.48%
Montgomery College,Management,2015,Employment Rate,0.007382007,0.74%
Montgomery College,Management,2015,Retention,0.169126925,16.91%
Montgomery College,Management,2015,Earnings,9708.982494,"$9,709 "
Montgomery College,Management,2015,Inter-college Transfer Rate (Including dual enroll and online enroll),0.803814015,80.38%
Baltimore Community College,Cyber Security,2015,Graduation Rate,0.038486467,3.85%
Baltimore Community College,Cyber Security,2015,Employment Rate,0.09089709,9.09%
Baltimore Community College,Cyber Security,2015,Retention,0.422513734,42.25%
Baltimore Community College,Cyber Security,2015,Earnings,5489.49202,"$5,489 "
Baltimore Community College,Cyber Security,2015,Inter-college Transfer Rate (Including dual enroll and online enroll),0.6471715,64.72%
Baltimore Community College,Accounting,2015,Graduation Rate,0.506889617,50.69%
Baltimore Community College,Accounting,2015,Employment Rate,0.858936077,85.89%
Baltimore Community College,Accounting,2015,Retention,0.725062947,72.51%
Baltimore Community College,Accounting,2015,Earnings,731.4257436,$731 
Baltimore Community College,Accounting,2015,Inter-college Transfer Rate (Including dual enroll and online enroll),0.344941237,34.49%
Baltimore Community College,Management,2015,Graduation Rate,0.052535081,5.25%
Baltimore Community College,Management,2015,Employment Rate,0.450100431,45.01%
Baltimore Community College,Management,2015,Retention,0.555013784,55.50%
Baltimore Community College,Management,2015,Earnings,9943.873975,"$9,944 "
Baltimore Community College,Management,2015,Inter-college Transfer Rate (Including dual enroll and online enroll),0.880536057,88.05%
University of Baltimore,Cyber Security,2015,Graduation Rate,0.334213995,33.42%
University of Baltimore,Cyber Security,2015,Employment Rate,0.903383694,90.34%
University of Baltimore,Cyber Security,2015,Retention,0.69030632,69.03%
University of Baltimore,Cyber Security,2015,Earnings,3529.464835,"$3,529 "
